y,x0,x1,x2,x3,x4
6.25,A4,A0,140,1,A0
1.0,A0,A1,75,4,A0
0.5,A4,A1,166,0,A1
0.13,A0,A0,113,3,A2
1.0,A1,A1,105,6,A1
0.6,A1,A1,90,6,A1
24.999,A6,A0,396,6,A0
5.5,A1,A1,90,6,A0
1.749,A4,A2,101,3,A0
7.0,A6,A0,256,5,A0
4.95,A7,A1,110,7,A0
1.25,A1,A1,136,1,A0
10.9,A4,A1,163,3,A0
10.499,A0,A1,174,8,A0
4.8,A0,A1,75,1,A0
1.89,A6,A1,45,12,A0
0.999,A0,A0,61,9,A2
,A0,A1,101,2,A2
37.3,A5,A0,381,3,A0
6.95,A1,A2,163,11,A1
7.55,A8,A0,0,3,A1
1.4,A1,A1,75,10,A0
10.9,A4,A1,197,8,A0
45.95,A7,A1,325,6,A0
2.3,A4,A1,131,12,A1
5.49,A4,A1,231,6,A0
5.5,A1,A1,105,9,A0
1.299,A4,A1,110,3,A0
15.755,A6,A0,290,9,A0
1.7,A1,A0,102,4,A0
16.0,A1,A1,190,3,A0
3.3,A5,A2,0,11,
1.8,A0,A1,110,4,A0
7.3,A1,A1,131,6,A0
1.45,A0,A0,54,10,A0
0.0,A5,A1,0,12,A0
1.5,A1,A1,109,2,A0
3.8,A7,A1,118,11,A0
5.95,A1,A1,170,2,A1
0.0,A4,A1,0,0,A2
,A1,A0,190,5,A0
1.5,A0,A1,75,6,A0
2.7,A4,A1,125,12,A2
15.5,A6,A2,170,1,A0
3.25,A2,A1,140,5,
7.9,A6,A0,250,11,A0
16.45,A1,A0,0,8,A0
6.299,A6,A1,141,8,A0
1.0,A4,A2,0,10,A1
3.5,A1,A1,102,5,A0
14.5,A4,A1,170,9,A0
0.0,A0,A1,60,6,A0
1.1,A0,A1,58,11,A0
1.3,A3,A1,126,7,A0
18.4,A4,A0,190,1,A0
2.65,A0,A1,101,8,A1
0.199,A0,A1,60,4,A1
0.7,A0,A1,0,0,A0
1.49,A0,A1,60,4,A1
4.6,A0,A2,0,7,A0
4.7,A4,A1,150,4,A0
3.8,A0,A1,109,1,A0
2.43,A3,A1,107,7,A0
39.75,A7,A1,355,10,A0
8.5,A4,A1,163,5,A0
4.49,A4,A1,115,3,A0
1.15,A0,A1,54,3,A0
6.98,A1,A1,102,7,A0
2.8,A0,A1,75,12,A0
7.9,A3,A1,110,7,A0
16.0,A3,A1,136,11,A0
5.555,A0,A0,84,1,A0
1.3,A1,A0,0,1,A1
1.89,A0,A1,75,12,A0
0.75,A0,A1,0,3,A0
3.65,A4,A1,101,1,A0
2.15,A4,A1,184,12,A0
2.649,A4,A1,125,5,A0
6.0,A4,A2,232,10,A1
0.85,A4,A1,101,1,A0
8.9,A4,A1,150,4,A0
9.85,A1,A1,68,5,A0
7.9,A0,A1,71,2,A0
3.998,A1,A1,150,10,A0
1.5,A1,A1,150,0,A0
1.5,A0,A1,65,11,A0
0.065,A2,A2,0,0,A1
14.5,A1,A1,86,3,A0
4.5,A0,A1,163,6,A0
10.498,A1,A1,105,8,A0
0.68,A4,A2,120,0,A1
1.675,A0,A1,0,5,A2
,A1,A1,218,7,A2
1.6,A0,A1,56,3,A0
26.5,A6,A1,140,11,A0
2.2,A3,A1,98,10,A0
17.9,A4,A1,500,9,A1
7.199,A5,A1,170,12,A0
18.9,A5,A0,204,11,A2
2.1,A4,A1,150,6,A0
1.67,A1,A1,75,8,A0
10.2,A1,A1,102,4,A0
0.4,A2,A2,60,0,A1
0.6,A0,A1,45,4,A1
6.7,A6,A1,0,9,A0
10.2,A6,A1,156,12,A0
1.7,A4,A1,101,12,A0
7.7,A4,A0,224,4,A0
1.4,A2,A1,101,4,A0
13.299,A1,A1,122,7,A0
0.5,A0,A1,45,5,A2
11.2,A1,A1,150,6,A0
1.4,A4,A1,150,9,A0
3.5,A0,A1,82,0,A1
12.5,A6,A0,349,2,A0
6.5,A0,A0,70,0,A1
1.75,A1,A1,125,9,A0
11.29,A7,A1,197,5,A0
12.9,A1,A1,145,3,A0
8.579,A1,A1,122,5,A0
2.85,A2,A1,0,9,A1
2.45,A2,A1,127,5,A0
0.95,A0,A1,58,4,A0
1.7,A3,A1,125,5,A0
2.7,A1,A0,125,11,A0
2.75,A4,A1,109,3,A0
0.944,A2,A2,0,0,A1
0.3,A2,A1,65,3,A0
3.2,A1,A1,204,11,A2
1.955,A4,A1,101,4,A0
3.2,A1,A1,101,9,
2.5,A2,A2,0,0,A1
1.35,A1,A1,75,7,A0
3.2,A3,A1,86,10,A2
2.5,A2,A2,0,0,A1
1.7,A0,A1,150,5,A0
0.65,A4,A1,102,5,A1
3.35,A3,A1,70,6,A2
4.8,A1,A0,150,12,A0
15.9,A7,A0,160,3,A0
1.4,A1,A1,101,9,A0
1.5,A1,A1,102,5,
1.5,A2,A1,75,1,A0
2.1,A0,A1,50,11,A0
1.899,A1,A0,102,11,A0
1.5,A1,A1,140,11,A0
3.65,A2,A1,0,11,A2
3.25,A4,A1,125,5,A0
14.5,A1,A1,140,9,A0
2.999,A1,A1,102,10,A1
5.5,A7,A1,193,7,A0
3.8,A7,A1,192,3,A0
21.5,A6,A0,239,12,A0
16.99,A1,A0,211,2,A0
1.5,A0,A1,60,12,A1
4.5,A2,A1,136,3,A0
20.9,A1,A1,280,4,A0
0.999,A0,A2,0,9,A0
7.0,A3,A1,105,12,A0
1.5,A2,A2,75,4,A1
0.899,A4,A1,170,12,A2
0.33,A2,A1,60,4,A0
0.399,A1,A1,107,8,A0
0.9,A0,A1,47,10,A2
5.799,A0,A1,75,9,A0
0.85,A0,A1,54,4,A1
20.0,A0,A0,185,4,A0
,A4,A1,165,11,A0
0.35,A2,A0,131,7,A2
3.8,A2,A0,218,1,A0
,A1,A1,143,10,A0
1.999,A3,A0,102,8,A0
44.996,A5,A1,0,9,A0
0.0,A2,A1,0,0,A2
0.3,A0,A1,101,2,A1
1.05,A0,A1,0,11,A1
3.2,A7,A1,116,3,A0
3.8,A3,A1,102,5,
1.75,A1,A1,122,0,A0
26.5,A5,A1,150,3,A2
,A7,A1,126,2,A0
2.7,A0,A1,75,11,A1
2.7,A3,A1,101,4,A0
10.99,A0,A1,192,10,A0
4.484,A3,A1,115,7,A0
1.45,A2,A1,60,8,A0
13.7,A1,A0,0,1,A0
3.35,A0,A1,80,11,A2
0.6,A0,A1,55,12,A0
1.999,A1,A0,150,4,A0
1.15,A0,A1,58,2,A0
0.65,A0,A1,50,1,A2
0.55,A1,A1,125,4,A0
1.3,A7,A1,90,5,A0
0.9,A4,A1,75,5,A2
4.1,A6,A1,125,3,A0
1.299,A1,A1,122,9,A1
,A2,A1,96,1,A0
1.999,A2,A1,54,0,A1
2.5,A0,A1,60,6,A0
9.99,A5,A1,177,8,A1
1.45,A0,A1,75,1,A0
1.4,A5,A1,101,1,A0
1.5,A0,A1,75,3,A1
3.2,A1,A0,101,7,A0
10.99,A3,A1,110,2,A0
0.99,A0,A1,50,0,A1
2.65,A4,A1,116,7,A0
1.5,A0,A1,75,5,A0
1.75,A1,A1,101,9,A0
0.599,A1,A1,75,10,A0
6.199,A4,A1,116,4,A0
30.0,A8,A0,170,12,A2
3.5,A2,A1,44,1,A1
0.35,A0,A1,54,1,A0
2.25,A1,A0,165,11,A1
0.18,A2,A1,0,0,A1
4.25,A4,A1,102,11,A0
23.75,A7,A0,245,6,A0
4.3,A1,A0,0,11,A0
20.0,A1,A0,265,11,A0
4.8,A0,A1,60,6,A0
1.25,A0,A1,98,0,A0
5.99,A0,A1,90,1,A0
1.78,A4,A1,125,10,A0
1.599,A4,A1,122,11,A0
1.4,A0,A1,0,9,A0
10.5,A1,A1,105,12,A0
0.599,A0,A1,54,4,A0
24.49,A6,A0,143,6,A0
4.7,A0,A1,170,9,A0
3.499,A0,A1,131,0,A1
4.55,A3,A1,116,3,A0
2.799,A1,A1,150,4,
4.25,A4,A1,0,2,A0
0.75,A0,A1,90,7,A0
2.3,A0,A1,54,2,A0
6.899,A0,A1,80,12,A0
1.399,A4,A1,101,4,A0
4.9,A0,A1,57,0,A0
0.999,A4,A1,0,5,A1
3.99,A0,A1,68,2,A0
1.1,A0,A1,60,3,A0
3.3,A2,A2,0,0,A0
1.05,A4,A1,105,8,A0
4.444,A0,A1,70,11,A0
4.0,A1,A1,105,5,A0
4.3,A0,A1,160,8,A0
5.2,A4,A1,140,4,A2
0.5,A4,A1,115,2,A2
21.856,A7,A0,184,1,A0
,A0,A1,50,7,A0
0.48,A1,A1,0,9,A1
0.8,A1,A2,118,12,A2
2.5,A0,A0,61,10,A0
13.5,A7,A1,231,3,A0
1.0,A0,A1,75,0,A0
0.0,A4,A1,166,3,A0
11.5,A3,A0,116,1,A0
1.4,A0,A1,75,0,A1
2.999,A0,A1,110,5,A0
2.49,A7,A1,131,7,A0
1.9,A4,A1,136,6,A0
3.5,A1,A1,129,4,A0
0.999,A1,A1,90,3,A0
34.95,A5,A1,340,6,A0
0.165,A0,A1,50,0,A2
3.499,A6,A0,223,2,
15.683,A3,A1,140,10,A0
23.99,A6,A0,211,3,A0
1.3,A4,A1,108,6,A1
7.1,A4,A1,102,4,
0.65,A0,A1,75,7,A1
2.699,A3,A1,145,2,A0
12.999,A4,A1,122,6,A0
4.2,A4,A1,90,4,A0
16.1,A0,A1,111,9,A0
20.7,A6,A0,239,1,A0
1.65,A1,A1,116,6,A0
19.5,A5,A0,0,4,A0
0.0,A5,A1,170,0,A2
4.499,A0,A1,73,9,A0
0.5,A0,A1,40,6,A1
2.7,A4,A1,101,0,A2
13.8,A4,A1,116,10,A0
0.999,A0,A1,50,9,A2
0.0,A0,A1,60,0,A1
,A3,A1,132,5,
26.59,A7,A0,211,10,A0
8.99,A1,A1,143,3,A0
15.0,A8,A1,100,4,A0
2.6,A4,A1,101,6,A1
0.1,A2,A1,75,0,A1
9.99,A4,A1,300,10,A0
0.0,A2,A1,55,12,A1
24.9,A3,A1,140,6,A0
1.8,A0,A1,110,2,A0
12.35,A1,A1,105,3,
0.0,A0,A1,60,7,A0
10.5,A2,A1,105,12,A0
2.95,A5,A1,139,5,A0
5.5,A6,A1,136,8,A0
3.98,A1,A1,83,4,A0
2.8,A0,A1,101,8,A0
0.949,A5,A1,75,10,A0
9.599,A1,A1,122,7,A0
9.69,A0,A1,69,2,A0
2.75,A4,A1,129,2,A0
1.9,A3,A1,116,1,A2
4.0,A0,A1,34,2,
1.3,A2,A1,60,0,A1
,A5,A1,102,11,A0
3.9,A5,A0,136,1,
4.0,A3,A1,100,6,A0
6.999,A3,A1,109,1,A0
0.065,A2,A2,0,0,A1
0.001,A2,A2,0,0,A1
1.099,A1,A1,75,9,A0
0.99,A7,A1,90,0,A1
1.25,A5,A1,156,6,
4.2,A7,A1,110,3,A0
20.499,A1,A0,290,12,A0
,A3,A1,125,12,A1
2.1,A3,A1,101,3,A1
0.85,A1,A1,150,7,A2
6.3,A7,A1,163,9,A0
3.3,A0,A1,0,5,A0
3.6,A4,A0,150,8,A0
0.8,A2,A1,0,3,A2
1.35,A0,A1,75,12,A1
1.65,A1,A1,113,10,A0
,A2,A1,0,0,A1
5.5,A3,A1,102,3,A0
1.398,A5,A1,116,0,A1
2.5,A1,A1,75,0,A0
6.5,A3,A0,170,8,A2
0.999,A2,A1,115,8,A0
0.397,A4,A0,177,4,A1
1.9,A3,A1,128,3,A0
0.0,A1,A1,163,4,A1
13.0,A4,A0,180,3,A0
1.8,A1,A1,75,3,A2
1.99,A2,A1,97,3,A0
3.5,A1,A1,105,9,A0
1.6,A0,A2,54,1,A2
5.799,A6,A0,163,9,A0
3.8,A1,A0,125,8,A1
2.49,A4,A1,116,5,A0
1.5,A0,A1,0,11,A1
16.3,A3,A0,141,1,A0
0.95,A4,A1,105,4,A2
0.25,A1,A1,115,3,A2
0.999,A1,A2,90,6,A0
4.1,A1,A1,143,4,A2
7.8,A1,A0,231,4,A0
1.4,A0,A1,60,0,A2
24.95,A5,A1,192,10,A0
1.4,A0,A1,60,4,
1.2,A1,A1,100,12,A2
2.999,A1,A1,163,0,A0
0.85,A2,A1,150,0,A0
10.95,A4,,200,9,A0
13.499,A3,A1,68,6,A0
19.2,A1,A1,177,10,A0
3.0,A1,A1,110,3,A0
6.7,A3,A1,116,9,A0
2.35,A4,A1,150,7,A0
1.5,A1,A0,150,3,A0
1.3,A1,A1,125,1,A0
5.1,A0,A1,77,5,A0
2.5,A1,A1,102,4,A0
5.5,A7,A1,143,4,A0
2.5,A1,A1,103,3,A0
2.999,A0,A1,94,10,A0
3.45,A3,A1,101,6,A0
6.75,A1,A1,122,5,A0
19.4,A4,A0,184,6,A0
2.95,A4,A0,163,11,A0
0.7,A0,A2,56,2,A1
1.59,A2,A0,55,11,A0
5.999,A7,A1,193,3,A0
1.0,A1,A1,107,1,A0
20.2,A4,A0,200,0,A1
16.9,A6,A1,150,10,A0
2.0,A0,A1,58,1,A0
2.4,A0,A1,75,4,A0
0.68,A0,A1,60,10,A0
7.2,A1,A0,150,4,A0
2.45,A0,A1,101,2,A0
0.9,A4,A1,211,9,A2
0.5,A2,A1,70,0,A1
0.1,A0,A1,45,0,A2
0.199,A0,A1,53,10,A2
2.9,A1,A1,103,7,A0
3.6,A0,A1,80,10,A0
15.249,A5,A0,272,1,A0
1.2,A1,A1,101,7,A1
0.2,A0,A1,60,6,A1
13.98,A1,A1,143,12,A0
0.55,A2,A1,60,0,A0
0.0,A2,A1,75,4,A0
3.9,A3,A1,102,5,A0
8.999,A1,A1,0,11,A1
0.65,A0,A1,0,0,A1
0.88,A0,A1,60,4,A0
2.9,A1,A0,286,3,A2
0.599,A0,A1,56,4,A0
3.35,A2,A1,150,12,A0
15.0,A4,A1,140,7,A1
7.95,A3,A0,150,1,A0
1.2,A0,A1,0,11,A1
3.0,A1,A1,193,4,A0
0.85,A1,A0,0,0,A0
1.899,A1,A1,101,6,A0
2.8,A3,A1,116,10,A0
11.3,A1,A0,232,8,A1
0.38,A0,A1,52,5,A1
32.0,A5,A0,420,6,A0
22.22,A1,A1,143,2,A0
,A4,A1,116,3,A2
7.9,A4,A1,170,12,A0
3.53,A4,A1,105,1,A0
1.9,A0,A1,75,6,A1
19.55,A5,A1,265,4,A0
3.2,A3,A2,155,0,A2
0.95,A0,A1,60,6,A0
0.555,A0,A1,59,10,A2
2.6,A4,A1,0,10,A1
6.99,A0,A1,75,1,A0
1.85,A4,A0,136,4,A0
23.49,A5,A0,211,10,A1
3.2,A1,A0,0,3,
13.4,A6,A0,190,6,A0
13.95,A7,A1,163,5,A0
11.9,A4,A0,160,5,A0
11.5,A1,A0,163,12,A0
2.59,A4,A0,207,1,A1
0.888,A4,A1,115,12,A0
0.6,A4,A1,150,4,A2
2.09,A1,A0,109,8,A0
6.2,A6,A0,155,6,A0
15.999,A7,A1,126,12,A0
0.15,A0,A1,55,7,A0
28.5,A1,A0,184,1,A0
7.999,A1,A0,231,11,A0
4.2,A1,A1,105,5,A0
0.69,A0,A0,45,12,A0
12.999,A2,A0,241,6,A0
15.5,A0,A1,122,5,A0
4.9,A4,A1,125,3,A0
0.8,A2,A2,0,0,A1
1.2,A4,A0,170,8,A2
0.5,A1,A1,126,6,A0
18.5,A1,A0,150,1,A0
7.7,A4,A0,179,10,A0
0.01,A2,A2,170,12,A1
0.25,A2,A2,0,10,A1
38.9,A5,A1,241,8,
1.8,A1,A1,136,10,A0
1.5,A0,A1,60,10,A1
21.89,A7,A1,131,10,A0
0.7,A1,A1,107,7,A0
0.2,A4,A1,0,6,A0
0.65,A0,A1,58,7,
3.6,A0,A1,131,10,A1
9.9,A3,A1,128,7,A0
1.5,A1,A1,67,2,A2
1.0,A2,A2,0,3,A1
2.499,A5,A0,136,11,A0
16.98,A1,A1,120,4,A0
1.8,A0,A1,75,9,A0
1.99,A1,A1,75,5,
1.45,A4,,141,8,A0
2.75,A1,A0,345,6,A0
0.75,A0,A1,60,1,A0
3.7,A0,A1,116,11,A2
0.65,A0,A1,58,1,A2
1.85,A1,A1,170,11,A0
0.9,A4,A1,120,5,A2
0.69,A1,A2,26,3,A0
2.299,A1,A1,192,10,A0
2.0,A0,A1,60,3,A0
6.2,A0,A1,80,1,A0
2.59,A7,A1,109,3,A2
18.5,A4,A0,239,3,A0
1.1,A4,A1,120,4,A0
0.85,A1,A1,105,10,A0
4.45,A0,A1,75,8,A0
2.5,A4,A1,122,2,A0
11.75,A6,A1,105,3,A0
8.0,A5,A0,150,6,A0
0.8,A5,A1,150,2,A2
1.49,A4,A1,116,3,A0
0.78,A2,A2,0,0,A2
0.0,A2,A1,116,10,A0
2.8,A1,A1,218,6,
1.4,A5,A1,115,9,A1
9.5,A1,A1,140,7,A0
8.5,A7,A1,150,5,A0
0.18,A2,A2,0,9,A2
2.3,A1,A1,129,3,A1
8.399,A7,A1,143,4,A0
2.85,A4,A0,150,1,A0
19.29,A1,A0,271,3,A0
1.5,A1,A1,101,10,A0
1.5,A2,A0,101,0,A1
7.5,A0,A1,69,1,A0
3.7,A2,A2,180,8,A0
5.499,A4,A0,354,1,A0
3.25,A0,A1,150,0,A1
1.4,A0,A1,60,8,
4.9,A3,A1,69,11,A0
1.65,A0,A1,75,4,A0
0.0,A1,A1,118,12,A0
0.9,A2,A1,65,1,A1
7.7,A7,A1,71,5,A0
0.888,A0,A1,75,2,A0
2.9,A0,A0,61,5,A0
1.85,A0,A1,60,4,A0
1.699,A0,A1,0,1,A0
2.799,A0,A1,88,9,A0
18.3,A5,A1,265,3,A0
1.2,A0,A1,65,5,A0
12.0,A6,A1,122,3,A0
9.999,A0,A0,54,11,A0
0.0,A2,A2,0,0,A1
1.0,A3,A1,90,4,A0
10.95,A1,A0,163,10,A0
3.85,A1,A0,170,10,A0
1.25,A0,A1,0,10,A1
5.999,A4,A1,131,11,A0
1.5,A1,A1,82,11,A0
11.6,A3,A0,131,8,A0
15.39,A3,A1,140,11,A0
8.7,A0,A1,120,11,A0
3.85,A1,A1,150,12,A0
3.66,A4,A1,134,5,A0
4.89,A0,A0,82,9,A0
1.0,A1,A0,0,4,A0
16.9,A0,A1,143,6,
3.0,A8,A2,0,1,A0
0.0,A3,A2,0,0,A1
3.25,A1,A0,193,12,A0
14.999,A5,A1,370,8,A0
0.95,A1,A1,75,11,A0
4.85,A1,A1,140,11,A2
19.95,A8,A1,0,0,A1
5.5,A4,A1,163,5,A0
23.9,A6,A0,224,1,A0
4.25,A1,A1,105,10,A0
0.599,A0,A1,0,5,A0
6.5,A2,A2,0,12,A1
1.3,A1,A1,60,1,A0
5.9,A1,A1,170,6,A0
14.999,A5,A1,140,5,A0
4.999,A0,A0,61,8,A0
7.5,A3,A1,170,8,A0
3.333,A7,A1,136,10,A0
7.5,A5,A1,150,12,A0
28.0,A1,A1,160,7,A0
2.5,A4,A1,131,5,A0
,A2,A2,0,0,A1
6.9,A7,A1,160,5,A0
10.9,A4,A1,102,6,A1
3.5,A4,A1,98,1,A1
0.45,A0,A1,0,12,A1
1.299,A0,A1,54,7,A0
37.9,A7,A0,360,1,A0
0.25,A1,A1,102,2,A2
6.15,A4,A0,140,6,A0
21.99,A1,A0,239,11,A0
3.0,A1,A1,136,1,A0
1.599,A1,A1,150,4,A0
3.2,A0,A1,80,6,A0
0.57,A0,A1,54,7,A0
1.95,A0,A1,64,1,A2
23.9,A1,A0,235,9,A0
0.001,A5,A1,75,7,A0
1.65,A0,A1,75,3,A0
5.3,A1,A1,105,1,A0
5.7,A0,A0,71,11,A0
0.4,A4,A1,90,7,A1
0.55,A1,A1,60,2,A0
0.299,A0,A1,45,10,A2
0.549,A2,A2,0,0,A1
,A0,A1,125,6,A0
2.75,A1,A1,163,2,A0
5.95,A0,A1,125,1,A0
6.89,A1,A1,105,3,A0
4.199,A4,A1,0,1,A0
1.45,A3,A1,109,9,A0
8.95,A7,A1,170,7,A0
7.499,A1,A1,140,7,A0
16.199,A1,A0,245,1,A0
0.28,A4,A1,85,0,A1
1.95,A0,A1,125,8,A0
1.2,A0,A1,44,12,A0
5.8,A4,A1,180,11,
7.3,A1,A1,69,8,A0
3.4,A3,A1,57,3,A2
13.499,A6,A0,177,9,A0
,A1,A1,150,9,A0
2.4,A0,A1,80,3,A2
6.6,A4,A1,131,10,A0
6.8,A1,A1,250,3,A0
1.45,A8,A1,125,5,A2
3.65,A1,A1,105,5,A1
0.799,A4,A1,90,4,A0
12.89,A1,A0,231,6,A0
0.75,A3,A1,174,5,A0
0.45,A0,A1,54,6,A1
,A4,A1,170,8,A0
3.45,A5,A1,109,7,A0
2.777,A1,A0,150,4,A0
1.35,A4,A1,170,8,A0
2.0,A0,A1,69,10,A2
1.2,A0,A2,0,12,A0
1.8,A0,A1,68,12,A0
37.499,A6,A1,122,6,A0
1.3,A3,A1,141,6,A2
1.7,A1,A1,103,8,A0
10.7,A4,A1,125,8,A0
5.5,A1,A1,170,11,A2
1.9,A2,A1,113,2,A0
8.2,A1,A1,177,5,A0
0.4,A0,A1,60,9,A1
0.99,A1,A1,90,7,
10.9,A6,A1,163,7,A0
0.65,A3,A2,107,9,A0
24.4,A4,A0,150,10,A0
6.5,A6,A1,141,11,A0
2.2,A5,A1,150,1,A1
11.8,A7,A1,140,9,A0
,A0,A1,60,3,A0
10.5,A6,A0,150,1,A0
12.0,A4,A1,160,3,A0
7.35,A8,A1,82,1,A0
1.25,A1,A1,90,7,A0
2.95,A1,A1,118,10,A0
12.25,A4,A0,160,2,A0
2.3,A1,A1,95,11,A0
14.6,A1,A1,120,4,A0
0.65,A0,A1,54,7,A0
1.35,A4,A1,170,0,A0
6.2,A2,A1,130,0,A0
0.001,A2,A2,0,6,A1
3.5,A2,A2,0,0,A1
0.012,A2,A2,0,7,A1
2.8,A2,A1,0,3,A0
2.5,A1,A1,150,1,A0
0.804,A7,A1,190,3,A0
1.25,A1,A1,0,2,A1
2.0,A0,A1,50,3,A0
21.0,A2,A0,0,0,A1
0.28,A5,A1,140,11,A2
3.95,A3,A1,69,1,A0
2.45,A2,A1,0,3,A0
2.75,A1,A1,163,2,A0
0.3,A2,A2,0,0,A1
3.5,A1,A1,101,11,
0.35,A4,A1,90,6,
0.399,A1,A1,115,5,A0
3.5,A4,A1,116,3,A0
2.2,A0,A1,53,12,A0
1.28,A0,A1,60,11,A1
5.4,A1,A1,193,12,A0
3.3,A1,A1,102,3,A0
2.99,A2,A0,179,11,A0
,A3,A1,101,11,A1
15.0,A5,A0,140,12,A0
3.5,A1,A1,140,8,A0
2.999,A6,A0,207,9,A1
0.85,A0,A0,56,5,A0
12.28,A1,A1,260,5,A0
2.7,A1,A0,125,3,A1
3.5,A0,A1,58,3,A0
0.0,A5,A1,101,8,A1
12.7,A3,A1,105,9,A0
2.35,A2,A0,0,11,A0
2.2,A3,A1,68,0,A0
0.999,A0,A1,45,5,A0
1.111,A0,A1,45,0,A1
0.3,A0,A1,60,0,A2
13.5,A1,A1,179,11,
1.2,A0,A1,75,5,
0.95,A0,A1,54,7,A0
0.35,A2,A1,85,4,A0
4.5,A1,A1,150,10,A0
0.9,A2,A1,54,10,A2
1.5,A2,A0,75,3,A0
21.6,A1,A1,140,8,A0
0.75,A4,A1,116,12,A0
1.45,A7,A1,86,4,A0
0.0,A4,A0,130,2,A1
3.699,A1,A0,69,4,A0
6.9,A3,A2,140,9,A1
7.7,A0,A1,86,3,A1
0.0,A1,A1,88,6,A2
0.85,A2,A1,150,0,A1
0.7,A4,A0,211,7,A0
13.999,A1,A1,270,11,A0
0.79,A0,A1,58,12,A0
1.3,A0,A1,67,4,A2
2.2,A1,A1,116,3,A0
27.45,A2,A0,184,9,A0
7.2,A1,A0,150,11,A0
0.75,A1,A0,211,6,A2
7.0,A1,A1,122,1,A0
60.0,A1,A0,381,7,A0
12.7,A1,A0,224,7,A0
11.25,A7,A0,0,7,A0
0.95,A2,A2,0,6,
19.999,A5,A1,143,5,A0
0.2,A0,A2,45,0,A1
1.75,A0,A1,116,2,A1
5.0,A4,A0,140,9,A1
8.75,A7,A1,120,8,A0
2.0,A5,A1,102,10,A0
8.95,A0,A0,86,11,A0
3.2,A4,A1,80,3,A1
2.499,A3,A1,143,9,A0
1.1,A3,A0,149,7,A0
17.75,A0,A1,122,4,A0
6.322,A4,A0,0,10,A0
1.95,A8,A1,0,7,A0
2.45,A1,A1,116,5,A0
,A0,A1,80,11,A0
,A1,A1,174,6,A0
1.29,A0,A0,82,9,A1
9.2,A4,A1,72,8,
2.2,A1,A1,105,0,A1
0.35,A0,A2,75,2,A1
12.9,A5,A1,177,12,
2.65,A8,A1,105,10,A0
1.25,A4,A0,170,12,A0
0.6,A4,A1,125,1,A2
0.6,A0,A1,60,6,A0
,A1,A1,122,2,A0
0.95,A1,A0,150,3,
2.95,A7,A1,130,4,A0
0.36,A2,A1,75,0,A1
6.0,A0,A1,116,10,A0
5.99,A4,A0,163,5,A1
